epoch=0, mean cost=1.29938411713, total_time(mins)=0.0416542172432, eta=0.01, iters=499
epoch=1, mean cost=0.820573627949, total_time(mins)=0.0815016825994, eta=0.00999002995011, iters=998
epoch=2, mean cost=0.69917345047, total_time(mins)=0.119892366727, eta=0.0099800797608, iters=1497
epoch=3, mean cost=0.633491396904, total_time(mins)=0.164315366745, eta=0.00997014937278, iters=1996
epoch=4, mean cost=0.589219093323, total_time(mins)=0.204628499349, eta=0.009960238727, iters=2495
epoch=5, mean cost=0.555958092213, total_time(mins)=0.24452269872, eta=0.00995034776465, iters=2994
epoch=6, mean cost=0.529138505459, total_time(mins)=0.285309298833, eta=0.00994047642715, iters=3493
epoch=7, mean cost=0.506583034992, total_time(mins)=0.32926671505, eta=0.00993062465615, iters=3992
epoch=8, mean cost=0.487133473158, total_time(mins)=0.375370534261, eta=0.00992079239353, iters=4491
epoch=9, mean cost=0.470082700253, total_time(mins)=0.424287366867, eta=0.0099109795814, iters=4990
epoch=10, mean cost=0.454985231161, total_time(mins)=0.475955518087, eta=0.0099011861621, iters=5489
epoch=11, mean cost=0.441463917494, total_time(mins)=0.517898865541, eta=0.00989141207821, iters=5988
epoch=12, mean cost=0.429216742516, total_time(mins)=0.559496116638, eta=0.0098816572725, iters=6487
epoch=13, mean cost=0.418015986681, total_time(mins)=0.601271816095, eta=0.00987192168802, iters=6986
epoch=14, mean cost=0.407680660486, total_time(mins)=0.641984899839, eta=0.009862205268, iters=7485
epoch=15, mean cost=0.398068666458, total_time(mins)=0.68470749855, eta=0.0098525079559, iters=7984
epoch=16, mean cost=0.389078736305, total_time(mins)=0.725659517447, eta=0.00984282969542, iters=8483
epoch=17, mean cost=0.380637705326, total_time(mins)=0.768870866299, eta=0.00983317043048, iters=8982
epoch=18, mean cost=0.372684061527, total_time(mins)=0.810051465034, eta=0.00982353010519, iters=9481
epoch=19, mean cost=0.365163445473, total_time(mins)=0.850244116783, eta=0.00981390866391, iters=9980
epoch=20, mean cost=0.358031243086, total_time(mins)=0.891698833307, eta=0.00980430605122, iters=10479
epoch=21, mean cost=0.351254403591, total_time(mins)=0.931926250458, eta=0.00979472221188, iters=10978
