epoch=64, mean cost=0.669754862785, total_time(mins)=2.7598863999, eta=0.0093996270228, iters=32435
epoch=65, mean cost=0.669041752815, total_time(mins)=2.80143440167, eta=0.00939081765849, iters=32934
epoch=66, mean cost=0.668331921101, total_time(mins)=2.84184995095, eta=0.00938202479106, iters=33433
epoch=67, mean cost=0.667631983757, total_time(mins)=2.88478999933, eta=0.00937324837421, iters=33932
epoch=68, mean cost=0.666945934296, total_time(mins)=2.92805868387, eta=0.00936448836181, iters=34431
epoch=69, mean cost=0.666270852089, total_time(mins)=2.9761648337, eta=0.00935574470792, iters=34930
epoch=70, mean cost=0.665604114532, total_time(mins)=3.02838533322, eta=0.00934701736676, iters=35429
epoch=71, mean cost=0.664945721626, total_time(mins)=3.07529801925, eta=0.00933830629271, iters=35928
epoch=72, mean cost=0.664295434952, total_time(mins)=3.11994260152, eta=0.00932961144034, iters=36427
epoch=73, mean cost=0.663655877113, total_time(mins)=3.16579553286, eta=0.00932093276438, iters=36926
epoch=74, mean cost=0.663028299809, total_time(mins)=3.21285998424, eta=0.00931227021973, iters=37425
epoch=75, mean cost=0.662417054176, total_time(mins)=3.25664699872, eta=0.00930362376146, iters=37924
epoch=76, mean cost=0.661822021008, total_time(mins)=3.30803399881, eta=0.00929499334478, iters=38423
epoch=77, mean cost=0.661233484745, total_time(mins)=3.36561824878, eta=0.00928637892512, iters=38922
epoch=78, mean cost=0.660648286343, total_time(mins)=3.4164610823, eta=0.00927778045803, iters=39421
epoch=79, mean cost=0.660063862801, total_time(mins)=3.46407138507, eta=0.00926919789923, iters=39920
epoch=80, mean cost=0.659482181072, total_time(mins)=3.51175179879, eta=0.00926063120462, iters=40419
epoch=81, mean cost=0.658906400204, total_time(mins)=3.56305795113, eta=0.00925208033026, iters=40918
epoch=82, mean cost=0.658341169357, total_time(mins)=3.61309303443, eta=0.00924354523236, iters=41417
epoch=83, mean cost=0.657790005207, total_time(mins)=3.6631864508, eta=0.00923502586731, iters=41916
epoch=84, mean cost=0.657251954079, total_time(mins)=3.714039735, eta=0.00922652219163, iters=42415
epoch=85, mean cost=0.656723201275, total_time(mins)=3.76220516761, eta=0.00921803416203, iters=42914
epoch=86, mean cost=0.656198740005, total_time(mins)=3.81348566612, eta=0.00920956173538, iters=43413
epoch=87, mean cost=0.655675888062, total_time(mins)=3.86498113473, eta=0.00920110486867, iters=43912
epoch=88, mean cost=0.655153989792, total_time(mins)=3.91692264875, eta=0.0091926635191, iters=44411
epoch=89, mean cost=0.654630243778, total_time(mins)=3.96480791569, eta=0.00918423764399, iters=44910
epoch=90, mean cost=0.654106557369, total_time(mins)=4.00880240202, eta=0.00917582720082, iters=45409
epoch=91, mean cost=0.653587520123, total_time(mins)=4.06023315191, eta=0.00916743214725, iters=45908
epoch=92, mean cost=0.653076827526, total_time(mins)=4.11015608311, eta=0.00915905244107, iters=46407
epoch=93, mean cost=0.652567267418, total_time(mins)=4.15782541831, eta=0.00915068804023, iters=46906
epoch=94, mean cost=0.65205937624, total_time(mins)=4.20884228547, eta=0.00914233890285, iters=47405
epoch=95, mean cost=0.651551783085, total_time(mins)=4.25836795171, eta=0.00913400498717, iters=47904
epoch=96, mean cost=0.65104496479, total_time(mins)=4.30650625229, eta=0.00912568625161, iters=48403
epoch=97, mean cost=0.650541067123, total_time(mins)=4.35585373243, eta=0.00911738265473, iters=48902
epoch=98, mean cost=0.650040149689, total_time(mins)=4.40048046907, eta=0.00910909415524, iters=49401
epoch=99, mean cost=0.64954584837, total_time(mins)=4.44320868254, eta=0.00910082071201, iters=49900
epoch=100, mean cost=0.649059951305, total_time(mins)=4.48374676704, eta=0.00909256228405, iters=50399
