epoch=0, mean cost=2.30193829536, total_time(mins)=0.035392332077, eta=0.01, iters=499
epoch=1, mean cost=2.3010532856, total_time(mins)=0.0700821677844, eta=0.00999002995011, iters=998
epoch=2, mean cost=2.30033540726, total_time(mins)=0.105026634534, eta=0.0099800797608, iters=1497
epoch=3, mean cost=2.29899549484, total_time(mins)=0.141053350766, eta=0.00997014937278, iters=1996
epoch=4, mean cost=2.29411268234, total_time(mins)=0.176305365562, eta=0.009960238727, iters=2495
epoch=5, mean cost=2.24800920486, total_time(mins)=0.212002599239, eta=0.00995034776465, iters=2994
epoch=6, mean cost=1.89080393314, total_time(mins)=0.248824850718, eta=0.00994047642715, iters=3493
epoch=7, mean cost=1.4595580101, total_time(mins)=0.285226448377, eta=0.00993062465615, iters=3992
epoch=8, mean cost=1.25431418419, total_time(mins)=0.322868267695, eta=0.00992079239353, iters=4491
epoch=9, mean cost=0.953757226467, total_time(mins)=0.360772784551, eta=0.0099109795814, iters=4990
epoch=10, mean cost=0.736030757427, total_time(mins)=0.398460932573, eta=0.0099011861621, iters=5489
epoch=11, mean cost=0.641230821609, total_time(mins)=0.436915318171, eta=0.00989141207821, iters=5988
epoch=12, mean cost=0.588918805122, total_time(mins)=0.475398834546, eta=0.0098816572725, iters=6487
epoch=13, mean cost=0.553975880146, total_time(mins)=0.513308866819, eta=0.00987192168802, iters=6986
epoch=14, mean cost=0.527648925781, total_time(mins)=0.552880314986, eta=0.009862205268, iters=7485
epoch=15, mean cost=0.505439221859, total_time(mins)=0.593637299538, eta=0.0098525079559, iters=7984
epoch=16, mean cost=0.484536796808, total_time(mins)=0.635142000516, eta=0.00984282969542, iters=8483
epoch=17, mean cost=0.46343266964, total_time(mins)=0.683839650949, eta=0.00983317043048, iters=8982
epoch=18, mean cost=0.442268282175, total_time(mins)=0.730282199383, eta=0.00982353010519, iters=9481
epoch=19, mean cost=0.422552257776, total_time(mins)=0.783825465043, eta=0.00981390866391, iters=9980
epoch=20, mean cost=0.405619621277, total_time(mins)=0.834315848351, eta=0.00980430605122, iters=10479
epoch=21, mean cost=0.39160823822, total_time(mins)=0.885831034184, eta=0.00979472221188, iters=10978
epoch=22, mean cost=0.379873365164, total_time(mins)=0.933566832542, eta=0.00978515709091, iters=11477
epoch=23, mean cost=0.369678169489, total_time(mins)=0.978927632173, eta=0.00977561063352, iters=11976
epoch=24, mean cost=0.360462278128, total_time(mins)=1.02673904896, eta=0.00976608278513, iters=12475
epoch=25, mean cost=0.351851135492, total_time(mins)=1.07741423448, eta=0.00975657349139, iters=12974
epoch=26, mean cost=0.343610316515, total_time(mins)=1.13026353121, eta=0.00974708269815, iters=13473
epoch=27, mean cost=0.335605949163, total_time(mins)=1.18404876788, eta=0.00973761035147, iters=13972
epoch=28, mean cost=0.327773630619, total_time(mins)=1.23732370138, eta=0.00972815639762, iters=14471
epoch=29, mean cost=0.320092827082, total_time(mins)=1.28796079954, eta=0.0097187207831, iters=14970
epoch=30, mean cost=0.312566965818, total_time(mins)=1.33821188211, eta=0.00970930345457, iters=15469
epoch=31, mean cost=0.305208921432, total_time(mins)=1.38683149815, eta=0.00969990435894, iters=15968
epoch=32, mean cost=0.298031568527, total_time(mins)=1.43547306458, eta=0.00969052344331, iters=16467
epoch=33, mean cost=0.291043281555, total_time(mins)=1.48496763309, eta=0.00968116065499, iters=16966
epoch=34, mean cost=0.284247159958, total_time(mins)=1.53513768117, eta=0.00967181594147, iters=17465
epoch=35, mean cost=0.277641773224, total_time(mins)=1.58659231663, eta=0.00966248925048, iters=17964
epoch=36, mean cost=0.271223425865, total_time(mins)=1.64263679981, eta=0.00965318052992, iters=18463
epoch=37, mean cost=0.264987707138, total_time(mins)=1.69428554773, eta=0.00964388972791, iters=18962
epoch=38, mean cost=0.258930593729, total_time(mins)=1.75002208153, eta=0.00963461679275, iters=19461
epoch=39, mean cost=0.253049075603, total_time(mins)=1.80116943121, eta=0.00962536167296, iters=19960
epoch=40, mean cost=0.247341066599, total_time(mins)=1.85998841524, eta=0.00961612431726, iters=20459
epoch=41, mean cost=0.241805195808, total_time(mins)=1.91935356458, eta=0.00960690467453, iters=20958
epoch=42, mean cost=0.236440271139, total_time(mins)=1.97694480022, eta=0.00959770269388, iters=21457
epoch=43, mean cost=0.231245145202, total_time(mins)=2.02698628108, eta=0.00958851832462, iters=21956
epoch=44, mean cost=0.226218238473, total_time(mins)=2.07456076543, eta=0.00957935151622, iters=22455
epoch=45, mean cost=0.221357300878, total_time(mins)=2.12252864838, eta=0.00957020221837, iters=22954
epoch=46, mean cost=0.216659501195, total_time(mins)=2.17110443115, eta=0.00956107038095, iters=23453
epoch=47, mean cost=0.212121278048, total_time(mins)=2.21855049928, eta=0.00955195595402, iters=23952
epoch=48, mean cost=0.207738488913, total_time(mins)=2.26574418147, eta=0.00954285888784, iters=24451
epoch=49, mean cost=0.203506499529, total_time(mins)=2.3154979984, eta=0.00953377913285, iters=24950
epoch=50, mean cost=0.199420198798, total_time(mins)=2.36262446642, eta=0.00952471663968, iters=25449
epoch=51, mean cost=0.1954741925, total_time(mins)=2.41079210043, eta=0.00951567135916, iters=25948
epoch=52, mean cost=0.191662997007, total_time(mins)=2.45744401614, eta=0.0095066432423, iters=26447
epoch=53, mean cost=0.187980875373, total_time(mins)=2.50571151574, eta=0.00949763224028, iters=26946
epoch=54, mean cost=0.184422209859, total_time(mins)=2.55469968319, eta=0.00948863830449, iters=27445
epoch=55, mean cost=0.180981382728, total_time(mins)=2.60246409973, eta=0.0094796613865, iters=27944
epoch=56, mean cost=0.177652925253, total_time(mins)=2.6509771506, eta=0.00947070143803, iters=28443
epoch=57, mean cost=0.17443151772, total_time(mins)=2.69922620058, eta=0.00946175841103, iters=28942
epoch=58, mean cost=0.171312153339, total_time(mins)=2.74875553449, eta=0.0094528322576, iters=29441
epoch=59, mean cost=0.168290033937, total_time(mins)=2.79981774886, eta=0.00944392293003, iters=29940
epoch=60, mean cost=0.165360629559, total_time(mins)=2.85246341626, eta=0.0094350303808, iters=30439
epoch=61, mean cost=0.162519708276, total_time(mins)=2.90037791729, eta=0.00942615456254, iters=30938
epoch=62, mean cost=0.159763336182, total_time(mins)=2.95656921466, eta=0.00941729542809, iters=31437
epoch=63, mean cost=0.157087802887, total_time(mins)=3.00726991494, eta=0.00940845293045, iters=31936
epoch=64, mean cost=0.154489651322, total_time(mins)=3.05815956593, eta=0.0093996270228, iters=32435
epoch=65, mean cost=0.151965722442, total_time(mins)=3.10696303447, eta=0.00939081765849, iters=32934
epoch=66, mean cost=0.149513021111, total_time(mins)=3.15558228095, eta=0.00938202479106, iters=33433
epoch=67, mean cost=0.14712870121, total_time(mins)=3.20580873092, eta=0.00937324837421, iters=33932
epoch=68, mean cost=0.144810184836, total_time(mins)=3.25407856703, eta=0.00936448836181, iters=34431
epoch=69, mean cost=0.142554968596, total_time(mins)=3.30292893251, eta=0.00935574470792, iters=34930
epoch=70, mean cost=0.140360698104, total_time(mins)=3.35087476571, eta=0.00934701736676, iters=35429
epoch=71, mean cost=0.138225123286, total_time(mins)=3.40872858365, eta=0.00933830629271, iters=35928
epoch=72, mean cost=0.136146113276, total_time(mins)=3.46329336564, eta=0.00932961144034, iters=36427
epoch=73, mean cost=0.134121611714, total_time(mins)=3.51899041732, eta=0.00932093276438, iters=36926
epoch=74, mean cost=0.132149606943, total_time(mins)=3.56741733154, eta=0.00931227021973, iters=37425
epoch=75, mean cost=0.130228236318, total_time(mins)=3.61376078129, eta=0.00930362376146, iters=37924
epoch=76, mean cost=0.128355666995, total_time(mins)=3.66231388251, eta=0.00929499334478, iters=38423
epoch=77, mean cost=0.126530110836, total_time(mins)=3.71014103095, eta=0.00928637892512, iters=38922
epoch=78, mean cost=0.124749906361, total_time(mins)=3.75887401501, eta=0.00927778045803, iters=39421
epoch=79, mean cost=0.123013399541, total_time(mins)=3.81732301712, eta=0.00926919789923, iters=39920
epoch=80, mean cost=0.121319033206, total_time(mins)=3.87029013236, eta=0.00926063120462, iters=40419
epoch=81, mean cost=0.119665294886, total_time(mins)=3.92534079949, eta=0.00925208033026, iters=40918
epoch=82, mean cost=0.11805074662, total_time(mins)=3.96855188211, eta=0.00924354523236, iters=41417
epoch=83, mean cost=0.116473972797, total_time(mins)=4.01131511529, eta=0.00923502586731, iters=41916
epoch=84, mean cost=0.114933647215, total_time(mins)=4.05182284911, eta=0.00922652219163, iters=42415
epoch=85, mean cost=0.113428451121, total_time(mins)=4.11400788228, eta=0.00921803416203, iters=42914
epoch=86, mean cost=0.111957170069, total_time(mins)=4.18903076649, eta=0.00920956173538, iters=43413
epoch=87, mean cost=0.110518574715, total_time(mins)=4.24009604851, eta=0.00920110486867, iters=43912
epoch=88, mean cost=0.109111525118, total_time(mins)=4.29606321653, eta=0.0091926635191, iters=44411
epoch=89, mean cost=0.107734911144, total_time(mins)=4.3511160175, eta=0.00918423764399, iters=44910
epoch=90, mean cost=0.106387667358, total_time(mins)=4.39551928441, eta=0.00917582720082, iters=45409
epoch=91, mean cost=0.105068735778, total_time(mins)=4.45940656662, eta=0.00916743214725, iters=45908
epoch=92, mean cost=0.10377714783, total_time(mins)=4.51662646532, eta=0.00915905244107, iters=46407
epoch=93, mean cost=0.102511934936, total_time(mins)=4.5702804327, eta=0.00915068804023, iters=46906
epoch=94, mean cost=0.101272180676, total_time(mins)=4.63013234933, eta=0.00914233890285, iters=47405
epoch=95, mean cost=0.100057013333, total_time(mins)=4.68684606552, eta=0.00913400498717, iters=47904
epoch=96, mean cost=0.098865583539, total_time(mins)=4.73349948327, eta=0.00912568625161, iters=48403
epoch=97, mean cost=0.0976970717311, total_time(mins)=4.77807829777, eta=0.00911738265473, iters=48902
epoch=98, mean cost=0.0965507104993, total_time(mins)=4.82137776613, eta=0.00910909415524, iters=49401
epoch=99, mean cost=0.095425747335, total_time(mins)=4.86330828269, eta=0.00910082071201, iters=49900
epoch=100, mean cost=0.0943214744329, total_time(mins)=4.90754239957, eta=0.00909256228405, iters=50399
