epoch=64, mean cost=2.09285354614, total_time(mins)=2.81173003515, eta=0.0093996270228, iters=32435
epoch=65, mean cost=1.86941111088, total_time(mins)=2.85700326761, eta=0.00939081765849, iters=32934
epoch=66, mean cost=1.771895051, total_time(mins)=2.90478836695, eta=0.00938202479106, iters=33433
epoch=67, mean cost=1.72752046585, total_time(mins)=2.94997625351, eta=0.00937324837421, iters=33932
epoch=68, mean cost=1.70204377174, total_time(mins)=2.99574385087, eta=0.00936448836181, iters=34431
epoch=69, mean cost=1.68237304688, total_time(mins)=3.04169208606, eta=0.00935574470792, iters=34930
epoch=70, mean cost=1.65996217728, total_time(mins)=3.09134825071, eta=0.00934701736676, iters=35429
epoch=71, mean cost=1.59026813507, total_time(mins)=3.15171108643, eta=0.00933830629271, iters=35928
epoch=72, mean cost=1.35615861416, total_time(mins)=3.20748931964, eta=0.00932961144034, iters=36427
epoch=73, mean cost=1.222468853, total_time(mins)=3.26356456677, eta=0.00932093276438, iters=36926
epoch=74, mean cost=1.13734698296, total_time(mins)=3.31220640341, eta=0.00931227021973, iters=37425
epoch=75, mean cost=1.02137386799, total_time(mins)=3.36629806757, eta=0.00930362376146, iters=37924
epoch=76, mean cost=0.91445595026, total_time(mins)=3.42433776855, eta=0.00929499334478, iters=38423
epoch=77, mean cost=0.852695584297, total_time(mins)=3.47844598691, eta=0.00928637892512, iters=38922
epoch=78, mean cost=0.815304934978, total_time(mins)=3.5322832187, eta=0.00927778045803, iters=39421
epoch=79, mean cost=0.785735309124, total_time(mins)=3.58512813648, eta=0.00926919789923, iters=39920
epoch=80, mean cost=0.756634652615, total_time(mins)=3.62806313435, eta=0.00926063120462, iters=40419
epoch=81, mean cost=0.724335193634, total_time(mins)=3.66789573431, eta=0.00925208033026, iters=40918
epoch=82, mean cost=0.68638086319, total_time(mins)=3.71703461806, eta=0.00924354523236, iters=41417
epoch=83, mean cost=0.641423940659, total_time(mins)=3.76794020335, eta=0.00923502586731, iters=41916
epoch=84, mean cost=0.594917237759, total_time(mins)=3.81607831717, eta=0.00922652219163, iters=42415
epoch=85, mean cost=0.556307792664, total_time(mins)=3.87390408516, eta=0.00921803416203, iters=42914
epoch=86, mean cost=0.524231433868, total_time(mins)=3.92569438616, eta=0.00920956173538, iters=43413
epoch=87, mean cost=0.494976639748, total_time(mins)=3.97943665187, eta=0.00920110486867, iters=43912
epoch=88, mean cost=0.467408686876, total_time(mins)=4.03473143578, eta=0.0091926635191, iters=44411
epoch=89, mean cost=0.441678643227, total_time(mins)=4.0847258846, eta=0.00918423764399, iters=44910
epoch=90, mean cost=0.418268322945, total_time(mins)=4.13505441745, eta=0.00917582720082, iters=45409
epoch=91, mean cost=0.397518366575, total_time(mins)=4.18674561977, eta=0.00916743214725, iters=45908
epoch=92, mean cost=0.379431396723, total_time(mins)=4.23661296765, eta=0.00915905244107, iters=46407
epoch=93, mean cost=0.363754689693, total_time(mins)=4.28781776826, eta=0.00915068804023, iters=46906
epoch=94, mean cost=0.350160837173, total_time(mins)=4.33873195251, eta=0.00914233890285, iters=47405
epoch=95, mean cost=0.338335871696, total_time(mins)=4.39021155039, eta=0.00913400498717, iters=47904
epoch=96, mean cost=0.327987611294, total_time(mins)=4.44068471988, eta=0.00912568625161, iters=48403
epoch=97, mean cost=0.318843632936, total_time(mins)=4.4942516168, eta=0.00911738265473, iters=48902
epoch=98, mean cost=0.310660094023, total_time(mins)=4.5435575525, eta=0.00910909415524, iters=49401
epoch=99, mean cost=0.303230285645, total_time(mins)=4.59310255051, eta=0.00910082071201, iters=49900
epoch=100, mean cost=0.296386480331, total_time(mins)=4.64487498601, eta=0.00909256228405, iters=50399
